NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
130,경상남도 창원시 의창구 북면 동전리,128,0128,0000,창원동전월드메르디앙,78.7292,202211,04,"20,000",-,2,-,-,2016,동전로224번길 3,-,중개거래,경남 창원의창구,-,아파트
131,경상남도 창원시 의창구 소답동,143-28,0143,0028,이조빌라3차,75.8400,202211,04,"15,500",-,2,-,-,2001,의안로44번길 48,-,중개거래,경남 창원의창구,-,아파트
132,경상남도 창원시 의창구 서상동,352-2,0352,0002,서상,49.5900,202211,04,"6,300",-,5,-,-,1984,서상로 32-9,-,중개거래,경남 창원의창구,-,아파트
133,경상남도 창원시 의창구 북면 감계리,231-10,0231,0010,창원감계힐스테이트2차,84.1129,202211,03,"38,500",-,6,-,-,2017,감계로 341,-,중개거래,경남 창원의창구,-,아파트
134,경상남도 창원시 의창구 팔용동,35-1,0035,0001,힐스테이트아티움시티,84.8615,202211,03,"51,000",-,43,-,-,2020,창원대로397번길 11,-,중개거래,경남 창원의창구,-,아파트
135,경상남도 창원시 의창구 중동,786,0786,0000,창원중동유니시티3단지,84.7886,202211,03,"71,000",-,13,-,-,2019,중동로 77,-,중개거래,경남 창원의창구,-,아파트
136,경상남도 창원시 의창구 북면 신촌리,995-1,0995,0001,대호,59.6500,202211,02,"8,100",-,5,-,-,1998,천주로 1053,-,직거래,-,-,아파트
137,경상남도 창원시 의창구 북면 신촌리,995-1,0995,0001,대호,59.6500,202211,02,"8,100",-,5,-,-,1998,천주로 1053,20221102,중개거래,경남 창원의창구,-,아파트
138,경상남도 창원시 의창구 북면 감계리,225-1,0225,0001,창원감계힐스테이트4차,68.9762,202211,01,"26,400",-,9,-,-,2017,감계로 233,-,중개거래,경남 창원의창구,-,아파트
139,경상남도 창원시 의창구 동정동,305-3,0305,0003,무학,79.6600,202211,01,"15,000",-,1,-,-,1990,의창대로139번길 23,-,중개거래,경남 창원의창구,-,아파트
140,경상남도 창원시 의창구 소계동,723-1,0723,0001,수정맨션,58.1400,202211,01,"9,200",-,1,-,-,1985,소계로 101,-,중개거래,경남 창원의창구,-,아파트
