NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
50,경상남도 창원시 마산회원구 구암동,19-4,0019,0004,현대,56.4500,58.6444,202406,27,"9,400",2,개인,개인,1983,구암서1길 45-1,-,중개거래,경남 창원시 마산회원구,24.08.29,연립
51,경상남도 창원시 마산회원구 내서읍 중리,343,0343,0000,무진하이츠,72.4200,56.7300,202406,24,"8,800",2,개인,개인,1998,호원로 221-32,-,중개거래,경남 창원시마산회원구,24.07.25,다세대
52,경상남도 창원시 마산회원구 내서읍 삼계리,341-9,0341,0009,삼계위드필타운하우스4단지,74.2430,91.7500,202406,22,"12,700",2,개인,개인,2015,광려로 78-91,-,중개거래,경남 창원시 성산구,24.08.30,연립
53,경상남도 창원시 마산회원구 양덕동,97-6,0097,0006,삼정주택,54.8100,42.1000,202406,22,"4,180",3,개인,개인,1984,양덕북18길 67,-,직거래,-,24.07.09,연립
54,경상남도 창원시 마산회원구 양덕동,72-9,0072,0009,한효N,46.2100,49.5440,202406,17,"9,000",3,개인,개인,1981,양덕서6길 35,-,중개거래,부산 해운대구,24.06.18,연립
55,경상남도 창원시 마산회원구 회원동,640-22,0640,0022,78화란주택28동,39.6700,59.7500,202406,10,"4,500",2,개인,개인,1980,회원서2길 13,-,직거래,-,24.06.28,연립
56,경상남도 창원시 마산회원구 구암동,281-16,0281,0016,서암빌라,84.8900,47.6900,202406,09,"10,000",5,개인,개인,1997,구암북4길 33,-,중개거래,경남 창원시 의창구,24.08.23,연립다세대
57,경상남도 창원시 마산회원구 구암동,282-24,0282,0024,(282-24),43.2100,43.7750,202406,05,"4,500",1,개인,개인,1980,구암북2길 7-1,-,중개거래,경남 창원시마산회원구,24.06.18,다세대
58,경상남도 창원시 마산회원구 양덕동,61-37,0061,0037,양덕,37.2200,25.1240,202406,05,"5,200",3,개인,개인,1981,양덕남2길 12,-,직거래,-,24.06.05,연립
59,경상남도 창원시 마산회원구 내서읍 삼계리,842,0842,0000,두정숲속애2차(3동),75.3850,95.1240,202406,03,"10,700",4,개인,개인,2012,삼계숲길 169-2,-,중개거래,경남 창원시마산회원구,24.07.15,다세대
60,경상남도 창원시 마산회원구 합성동,129-6,0129,0006,태우,55.3800,32.3100,202406,01,"8,500",2,개인,개인,1983,합성서11길 148-1,-,중개거래,경남 창원시 마산회원구,24.10.16,연립다세대
61,경상남도 창원시 마산회원구 회원동,234-7,0234,0007,건우만복,53.1100,51.7350,202405,30,"6,700",3,개인,개인,1992,회원서1길 37-40,-,중개거래,경남 창원시마산회원구,24.06.10,연립다세대
62,경상남도 창원시 마산회원구 석전동,239-2,0239,0002,명신,64.1300,32.4800,202405,29,"7,900",1,개인,개인,1983,석전동14길 43,-,중개거래,경남 창원시마산회원구,24.06.19,연립
63,경상남도 창원시 마산회원구 내서읍 삼계리,765-4,0765,0004,오션빌리지1동,72.9000,85.6250,202405,27,"11,000",1,개인,개인,2012,삼계로 111,-,직거래,-,24.06.11,다세대
64,경상남도 창원시 마산회원구 석전동,194-27,0194,0027,화원주택,48.1000,51.1730,202405,25,"5,700",2,개인,개인,1981,석전서6길 133,-,중개거래,경남 창원시마산회원구,24.05.28,연립
65,경상남도 창원시 마산회원구 내서읍 삼계리,341-9,0341,0009,삼계위드필타운하우스4단지,74.2430,91.7500,202405,25,"12,600",3,개인,개인,2015,광려로 78-91,-,중개거래,경남 창원시마산회원구,24.07.22,연립
66,경상남도 창원시 마산회원구 회원동,645-18,0645,0018,78화란주택41동,70.5400,59.6750,202405,20,"5,500",1,개인,개인,1979,회원서4길 14-1,-,중개거래,경남 창원시마산회원구,24.06.07,연립
67,경상남도 창원시 마산회원구 석전동,229-9,0229,0009,(229-9),39.9700,37.5474,202405,16,"3,800",2,개인,개인,1979,석전동14길 26,-,직거래,-,24.05.16,연립
68,경상남도 창원시 마산회원구 구암동,1339-3,1339,0003,경상B,49.5200,31.3000,202405,12,"5,800",2,개인,법인,1983,구암북12길 94,-,직거래,-,24.05.14,연립
