NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
21,경상남도 창원시 의창구 소답동,124-3,0124,0003,성원주택,77.4500,53.1000,202409,15,"9,500",2,개인,개인,1997,의안로62번길 18,-,중개거래,경남 창원시 의창구,24.10.11,다세대
22,경상남도 창원시 의창구 동읍 용정리,23-5,0023,0005,자여새보금,84.5950,69.4160,202409,12,"12,300",2,개인,법인,2013,용정길32번길 21,-,중개거래,경남 창원시 의창구,24.10.02,연립
23,경상남도 창원시 의창구 북면 신촌리,1533-9,1533,0009,거풍센터빌1단지,84.5640,91.0812,202408,31,"12,200",2,개인,개인,2014,신촌본포로 5-10,-,중개거래,경남 창원시 의창구,24.09.09,연립
24,경상남도 창원시 의창구 도계동,402-4,0402,0004,진보녹화맨션,75.7900,29.2194,202408,29,"15,500",5,개인,개인,1995,원이대로69번길 10-22,-,중개거래,경남 창원시 의창구,24.09.27,연립
25,경상남도 창원시 의창구 도계동,418-1,0418,0001,대남상가빌라,107.2800,37.8101,202408,29,"17,300",5,개인,개인,1991,도계로 102,-,중개거래,경남 창원시 의창구,24.09.20,연립다세대
26,경상남도 창원시 의창구 동읍 용정리,21-5,0021,0005,대원하이빌2차,82.5900,63.5470,202408,28,"15,500",2,개인,개인,2012,용정길46번길 20,-,중개거래,경남 창원시 의창구,-,연립
27,경상남도 창원시 의창구 대산면 가술리,387-26,0387,0026,한솔푸르네오,57.8500,52.6981,202408,20,"8,000",2,개인,개인,2014,가술길1번길 19,-,중개거래,경남 창원시 의창구,24.08.29,연립
28,경상남도 창원시 의창구 동읍 용잠리,208-1,0208,0001,프림빌,63.9420,58.8750,202408,19,"10,300",1,개인,법인,2013,의창대로915번길 17-18,-,중개거래,경남 김해시,24.09.26,다세대
29,경상남도 창원시 의창구 도계동,341-2,0341,0002,덕암파크(341-2),75.7600,34.3000,202407,24,"16,500",2,개인,개인,1994,도계로50번길 9,-,중개거래,경남 창원시 의창구,24.08.23,다세대
30,경상남도 창원시 의창구 팔용동,68,0068,0000,프라임하우스4단지,224.2900,330.7238,202407,22,"143,000",1,개인,개인,2010,반계로62번길 11,-,중개거래,경남 창원시 성산구,-,연립
31,경상남도 창원시 의창구 소답동,142-15,0142,0015,성수빌라12차,75.9800,54.6602,202407,22,"12,500",2,개인,개인,1996,의창대로289번길 17,-,중개거래,"경남 창원시 성산구, 경남 창원시 의창구",24.08.12,다세대
32,경상남도 창원시 의창구 소답동,155-12,0155,0012,대림홍실빌라,56.0800,27.6475,202407,19,"6,400",2,개인,개인,1995,읍성로117번길 22,-,직거래,-,24.07.22,다세대
33,경상남도 창원시 의창구 동읍 용정리,150-6,0150,0006,헬리체자여,76.1728,59.9099,202407,17,"13,500",3,개인,개인,2018,자여로112번길 21,-,직거래,-,24.07.17,연립
