시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원의창구 소답동,449-2,0449,0002,성원큐브타운A동,70.065,54.37,201703,17,"        18,200",2,2015,천주로36번길 48
경상남도 창원의창구 소답동,143-1,0143,0001,성은동운빌라,73.41,42.2,201610,6,"        15,300",2,2001,읍성로89번길 6
경상남도 창원의창구 소답동,154-7,0154,0007,성창비아트,97.58,35.58,201704,6,"        13,200",5,1993,의창대로299번길 12
경상남도 창원의창구 소답동,137-8,0137,0008,세원빌라,70.74,37.83,201703,30,"        11,000",3,1995,의안로18번길 30
경상남도 창원의창구 소답동,120-1,0120,0001,소답시장,65.27,34,201610,15,"        10,000",3,1986,읍성로 70
경상남도 창원의창구 소답동,153-1,0153,0001,신상아빌라,70.75,33.94,201607,22,"        14,500",2,1994,의창대로289번길 14
경상남도 창원의창구 소답동,153-1,0153,0001,신상아빌라,70.75,33.94,201612,14,"        15,000",3,1994,의창대로289번길 14
경상남도 창원의창구 소답동,153-1,0153,0001,신상아빌라,70.75,33.94,201701,7,"        13,500",4,1994,의창대로289번길 14
경상남도 창원의창구 소답동,152-18,0152,0018,신흥빌라,71.455,32.1,201706,26,"        11,200",4,1994,의창대로299번길 19
경상남도 창원의창구 소답동,451-2,0451,0002,써니원빌,76.78,67.43,201703,3,"        27,650",4,2017,천주로36번길 45
경상남도 창원의창구 소답동,451-2,0451,0002,써니원빌,76.78,67.43,201703,3,"        28,160",4,2017,천주로36번길 45
경상남도 창원의창구 소답동,451-2,0451,0002,써니원빌,76.78,67.43,201703,11,"        28,000",3,2017,천주로36번길 45
경상남도 창원의창구 소답동,451-2,0451,0002,써니원빌,76.78,67.43,201703,15,"        28,096",3,2017,천주로36번길 45
경상남도 창원의창구 소답동,451-2,0451,0002,써니원빌,74.52,65.45,201704,4,"        25,464",3,2017,천주로36번길 45
경상남도 창원의창구 소답동,451-2,0451,0002,써니원빌,74.52,65.45,201704,7,"        25,781",3,2017,천주로36번길 45
경상남도 창원의창구 소답동,451-2,0451,0002,써니원빌,74.52,65.45,201705,22,"        25,464",4,2017,천주로36번길 45
경상남도 창원의창구 소답동,451-2,0451,0002,써니원빌,83.07,72.96,201706,1,"        32,800",5,2017,천주로36번길 45
경상남도 창원의창구 소답동,451-2,0451,0002,써니원빌,69.29,60.87,201706,22,"        26,000",4,2017,천주로36번길 45
경상남도 창원의창구 소답동,451-2,0451,0002,써니원빌,76.78,67.43,201706,30,"        28,000",3,2017,천주로36번길 45
경상남도 창원의창구 소답동,142-22,0142,0022,영진블루빌A,68.41,49.73,201703,2,"        17,200",4,2010,의창대로289번길 15-1
경상남도 창원의창구 소답동,119-3,0119,0003,청림둥지나동,50.275,25.85,201609,28,"        11,000",4,2002,의안로32번길 18-1
경상남도 창원의창구 소답동,110-6,0110,0006,칠성맨션가동,69.209,17.27,201701,10,"        17,000",5,1990,의창대로247번길 17
경상남도 창원의창구 소답동,129-11,0129,0011,태봉빌라3차,66.03,37.18,201702,13,"        11,800",1,1994,의안로62번길 34
경상남도 창원의창구 중동,447-1,0447,0001,남산빌라,76.43,46.42,201610,8,"        17,000",3,1998,의안로 23
경상남도 창원의창구 중동,539,0539,0000,현대그린빌리지,61.58,43.11,201610,14,"        14,000",4,2011,읍성로34번길 5-10
경상남도 창원의창구 중동,528,0528,0000,호영씨엘빌,53.9508,51.56,201611,11,"        15,500",2,2012,의안로31번길 13
경상남도 창원의창구 중동,528,0528,0000,호영씨엘빌,53.9508,51.56,201704,19,"        16,000",4,2012,의안로31번길 13
