시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산회원구 회원동,31-8,0031,0008,대양빌라(가동),78.165,63.48,201710,28,"        16,900",1,1984,회원동15길 32
경상남도 창원마산회원구 회원동,248-12,0248,0012,동방빌라,140.21,84.53,201709,27,"        25,000",4,2009,무학로 673
경상남도 창원마산회원구 회원동,673-20,0673,0020,무학,35.47,30.6,201710,17,"         6,800",2,1980,교방시장1길 58
경상남도 창원마산회원구 회원동,467-1,0467,0001,새한,55.44,31.3,201801,9,"         8,285",2,1980,회원남19길 15
경상남도 창원마산회원구 회원동,467-1,0467,0001,새한,55.44,31.3,201801,29,"        10,122",3,1980,회원남19길 15
경상남도 창원마산회원구 회원동,467-1,0467,0001,새한,55.44,31.3,201801,30,"         8,823",2,1980,회원남19길 15
경상남도 창원마산회원구 회원동,467-1,0467,0001,새한,55.44,31.3,201801,30,"         8,823",2,1980,회원남19길 15
경상남도 창원마산회원구 회원동,467-1,0467,0001,새한,55.44,31.3,201801,30,"         9,230",1,1980,회원남19길 15
경상남도 창원마산회원구 회원동,493-1,0493,0001,새한2,33.42,23.6,201708,15,"         6,700",3,1980,회원남17길 9
경상남도 창원마산회원구 회원동,493-1,0493,0001,새한2,33.42,23.6,201710,20,"         5,875",1,1980,회원남17길 9
경상남도 창원마산회원구 회원동,493-1,0493,0001,새한2,33.42,23.6,201711,4,"         5,875",2,1980,회원남17길 9
경상남도 창원마산회원구 회원동,493-1,0493,0001,새한2,33.42,23.6,201711,7,"         5,875",2,1980,회원남17길 9
경상남도 창원마산회원구 회원동,493-1,0493,0001,새한2,33.42,23.6,201805,23,"         5,810",3,1980,회원남17길 9
경상남도 창원마산회원구 회원동,497-15,0497,0015,새한3,33.42,26.88,201707,3,"         5,350",1,1980,회원남20길 32
경상남도 창원마산회원구 회원동,497-15,0497,0015,새한3,33.42,26.88,201707,31,"         6,810",2,1980,회원남20길 32
경상남도 창원마산회원구 회원동,497-15,0497,0015,새한3,33.42,26.88,201708,21,"         6,110",1,1980,회원남20길 32
